[Error] Failed to load resource: the server responded with a status of 404 () (pitchpro.umd.js.map, line 0)
[Log] ⚠️ [20:40:14] MISMATCH: callback=59.4% bar=0.0% diff=59.42% (test-callback-volume-fix.html, line 225)
[Log] ⚠️ [20:40:15] MISMATCH: callback=68.6% bar=70.2% diff=1.52% (test-callback-volume-fix.html, line 225)
[Log] ✅ [20:40:15] MATCH: callback=65.5% bar=64.5% diff=0.97% (test-callback-volume-fix.html, line 225)
[Log] ✅ [20:40:16] MATCH: callback=66.9% bar=66.9% diff=0.02% (test-callback-volume-fix.html, line 225)
[Log] ✅ [20:40:16] MATCH: callback=66.2% bar=67.0% diff=0.77% (test-callback-volume-fix.html, line 225)
[Log] ⚠️ [20:40:17] MISMATCH: callback=65.9% bar=64.0% diff=1.91% (test-callback-volume-fix.html, line 225)
[Log] ✅ [20:40:17] MATCH: callback=66.6% bar=66.5% diff=0.09% (test-callback-volume-fix.html, line 225)
[Log] ✅ [20:40:18] MATCH: callback=67.8% bar=68.0% diff=0.23% (test-callback-volume-fix.html, line 225)
[Log] ⚠️ [20:40:18] MISMATCH: callback=67.7% bar=64.9% diff=2.82% (test-callback-volume-fix.html, line 225)
[Log] ⚠️ [20:40:20] MISMATCH: callback=79.6% bar=82.6% diff=2.93% (test-callback-volume-fix.html, line 225)
[Log] ⚠️ [20:40:21] MISMATCH: callback=78.9% bar=81.7% diff=2.81% (test-callback-volume-fix.html, line 225)
[Log] ⚠️ [20:40:21] MISMATCH: callback=95.7% bar=92.2% diff=3.52% (test-callback-volume-fix.html, line 225)
[Log] ⚠️ [20:40:22] MISMATCH: callback=72.4% bar=66.4% diff=6.00% (test-callback-volume-fix.html, line 225)
[Log] ⚠️ [20:40:22] MISMATCH: callback=91.9% bar=87.5% diff=4.40% (test-callback-volume-fix.html, line 225)
[Log] ⚠️ [20:40:23] MISMATCH: callback=73.6% bar=75.1% diff=1.48% (test-callback-volume-fix.html, line 225)
[Log] ⚠️ [20:40:23] MISMATCH: callback=90.3% bar=99.6% diff=9.23% (test-callback-volume-fix.html, line 225)
[Log] Adjusted FPS to 50 due to high load (pitchpro-v1.3.6.umd.js, line 1)
[Log] ⚠️ [20:40:27] MISMATCH: callback=24.8% bar=0.0% diff=24.78% (test-callback-volume-fix.html, line 225)
[Log] ⚠️ [20:40:28] MISMATCH: callback=19.2% bar=38.5% diff=19.30% (test-callback-volume-fix.html, line 225)
